date,project,stack,indexed_files,nodes,edges,index_mode,index_freshness,target,baseline_runs_ms,baseline_median_ms,baseline_lines,baseline_unique_files,baseline_chars,baseline_est_tokens,mcp_runs_ms,mcp_median_ms,mcp_lines,mcp_structured_callers_returned,mcp_chars,mcp_est_tokens,token_reduction_pct,mcp_latency_factor,notes
2026-08-03,codebase-memory-mcp-source,C+TypeScript,586,14674,84329,moderate,missing,cbm_store_open_path,"1318.659;490.545;364.463;335.570;307.238",364.463,179,45,14538,3635,"9136;16795;13739",13739,13,3,535,134,96.3,37.7,"No recorded parse gap; source freshness missing"
2026-08-03,D-jq-project-aikb-web,Vue+JavaScript,992,17049,43424,full,metadata_match,getCustomDataPageListOfTable,"3685.442;335.074;335.865;334.226;339.407",335.865,12,2,1587,397,"12150;11145;11562",11562,16,5,1113,279,29.7,34.4,"Two same-name definitions disambiguated; target file has no recorded parse gap"
2026-08-03,D-project-aikb-java,Java,2423,46666,203361,full,metadata_match,CurrentUserUtil.getUserLogin,"107.617;93.362;100.805;111.138;104.265",104.265,722,210,134970,33743,"11928;9599;15890",11928,110,100,15228,3807,88.7,114.4,"Trace returned 100 callers without explicit pagination metadata"
2026-08-03,ALL,3-project aggregate,4001,78389,331114,mixed,mixed,all targets,,804.593,913,257,151095,37775,,37229,139,108,16876,4220,88.8,46.3,"Aggregate latency is the sum of per-project medians"
